name,type_name,character_name,number,image_url
Ultraman Rosso,Ground,ROSSO,(PR-158)BP04-082,https://img.ultraman-cardgame.com/images/card_details/b0c7c0d52235137402abc35038301d715fb4ce3b.webp
Ultraman Z,Alpha Edge,Z,(PR-156)BP04-030,https://img.ultraman-cardgame.com/images/card_details/88bf73a7ce8c51f0363eaff2af296a9e9e0ae0b3.webp
Ultraman Arc,,ARC,(PR-153)SD03-001,https://img.ultraman-cardgame.com/images/card_details/904db9eedfabc4551fadb7e161c53d8f7f0fcfe4.webp
Here Comes an Alien,,-,(PR-151)SD03-020,https://img.ultraman-cardgame.com/images/card_details/77e1b8f1a13e4c77ef16deb3592910d0dd110d93.webp
Ultraman Omega,,OMEGA,(PR-148)BP04-009,https://img.ultraman-cardgame.com/images/card_details/071dae0a1cef8028e06e656dc231c25511337807.webp
Ultraman Arc,Galaxy Armor,ARC,(PR-099)BP02-043,https://img.ultraman-cardgame.com/images/card_details/27ce8ccdc33a793e546dceab4a12b7430e94ad29.webp
Ultraman Blu,Aqua,BLU,(PR-098)BP02-035,https://img.ultraman-cardgame.com/images/card_details/2572f20744c090e958039d13bab3746d6ec858ae.webp
Ultraman Rosso,Flame,ROSSO,(PR-097)BP02-023,https://img.ultraman-cardgame.com/images/card_details/299d4953ab3499f6e6ccfae8ab63aa2afbf280e3.webp
Ultimate Zero,,ZERO,(PR-096)BP02-012,https://img.ultraman-cardgame.com/images/card_details/168f9a6f73e2a4c13c95f72e37fd2c64fc8d3efd.webp
Ultraman Gaia,Supreme Version,GAIA,(PR-095)BP02-005,https://img.ultraman-cardgame.com/images/card_details/ef552d9d94fb5293972049597d1b084a3213d15d.webp
Ultraman Blazar,Spiral Burrade,BLAZAR,(PR-094)BP01-043,https://img.ultraman-cardgame.com/images/card_details/8c025ddc939a46443f79def3c3b3f8cbfb2c6155.webp
Ultraman Decker,Flash Type,DECKER,(PR-093)BP01-034,https://img.ultraman-cardgame.com/images/card_details/c144559b00f5537f24e18f449da0c5ec70dda184.webp
Ultraman Mebius,Mebium Knight Blade,MEBIUS,(PR-092)BP01-025,https://img.ultraman-cardgame.com/images/card_details/7101ac68872936020f2bd44d548562cf1cbd5a75.webp
Ultraman Arc,,ARC,(PR-091)BP01-016,https://img.ultraman-cardgame.com/images/card_details/63282913f409ce0ebfac19977b5ce67849f6e777.webp
Ultraman Tiga,Zeperion Beam,TIGA,(PR-090)BP01-007,https://img.ultraman-cardgame.com/images/card_details/ea3f63ec60212d2cfc9f4df775f9e16b462997c5.webp
The Space NinjaAlien Baltan,,ALIEN BALTAN,PR-107,https://img.ultraman-cardgame.com/images/card_details/3e2080cb5b913cd64bb9fc4715690901bbf7a09d.webp
Ultraman Omega,,OMEGA,UR(02/02)BP04-014,https://img.ultraman-cardgame.com/images/card_details/90ab6f4163ce71a4fc44c66f4691c46d7922f3dc.webp
Ultraman Dyna,Flash Type,DYNA,UR(01/02)BP04-005,https://img.ultraman-cardgame.com/images/card_details/fab567858e60fcdd19eec23636e4a3a5104f9bbe.webp
For Smiles,,-,ExP(02/02)BP01-110,https://img.ultraman-cardgame.com/images/card_details/894d0a188e8f975f0a08d4140c0774703cccebdf.webp
The Champion of the Fierce Fight,,-,ExP(01/02)BP01-103,https://img.ultraman-cardgame.com/images/card_details/50d73ab187109c741fdede624eb0cadaa7ee32e5.webp
Ultraman Omega,,OMEGA,SSSP(02/02)BP04-014,https://img.ultraman-cardgame.com/images/card_details/25576f2fd46d2bfc976dedbf72a2f76340c61872.webp
