id,type,version,name,display_name,caption_name,price,released_at
17,Pack,5,Heroes of the Radiant Dawn,[BP05] Heroes of the Radiant Dawn,Heroes of the Radiant Dawn[BP05],4.50USD,2025-10-31 00:00:00
15,Pack,4,Gleam of Eternal Hope,[BP04] Gleam of Eternal Hope,Gleam of Eternal Hope[BP04],4.50USD,2025-08-01 00:00:00
14,Deck,3,Ω to the Future,[SD03] Ω to the Future,Ω to the Future[SD03],11.99USD,2025-07-01 00:00:00
10,Pack,3,Shadow of Undying Vengeance,[BP03] Shadow of Undying Vengeance,Shadow of Undying Vengeance [BP03],4.50USD,2025-04-25 00:00:00
8,Pack,2,Vortex of Crimson and Azure,[BP02] Vortex of Crimson and Azure,Vortex of Crimson and Azure[BP02],4.50USD,2025-01-24 00:00:00
9,Deck,1,Ultraman: Rising,[EXD01] Ultraman: Rising,Ultraman: Rising[EXD01],11.99USD,2025-01-24 00:00:00
5,Pack,1,Guardians of the Earth,[BP01] Guardians of the Earth,Guardians of the Earth[BP01],4.50USD,2024-11-08 00:00:00
6,Deck,1,Heroes of Hyper Space,[SD01] Heroes of Hyper Space,Heroes of Hyper Space[SD01],9.00USD,2024-09-25 00:00:00
7,Deck,2,The Bonds of Zero,[SD02] The Bonds of Zero,The Bonds of Zero[SD02],9.00USD,2024-09-25 00:00:00
1,PR Card,1,PR,PR Card,,,2024-05-01 00:00:00
