id,section,bundle_version,serial,branch,number,rarity,round,level,type,feature,battle_power_1,battle_power_2,battle_power_3,battle_power_4,battle_power_ex,publication_year,name,ruby,character_name,effect,flavor_text,participating_works,participating_works_url,errata_enable,errata_url,type_name,illustrator_name,image_url,thumbnail_image_url
763,BP,05,001,,BP05-001,R,,1,BASIC,Ultra Hero,5000,9000,,,,1996,Ultraman Tiga,-,TIGA,"[SIN]While this character's battle opponent has TYPE 【POWER】 or 【DEVASTATION】 , this character's BP grade increases by 1.","The Giant of Light is humanity's most powerful guardian, but ultimately, it is up to humans themselves to find a way into the future.",ULTRAMAN TIGA,,False,,Multi Type,"Studio Vigor Co.,Ltd",https://img.ultraman-cardgame.com/images/card_details/f9307ff872286c615f7412e23fb5473395a3c951.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/5c33345535296f0613976b8a7fb3f093d241b68e.webp
764,BP,05,001,AP03,AP(03/20)BP05-001,AP,,1,BASIC,Ultra Hero,5000,9000,,,,1996,Ultraman Tiga,-,TIGA,"[SIN]While this character's battle opponent has TYPE 【POWER】 or 【DEVASTATION】 , this character's BP grade increases by 1.",The Ancient Giant's battle has ended already — but his light exists in the hearts of all he once protected.,ULTRAMAN TIGA,,False,,Multi Type,TONJI MATSUNO,https://img.ultraman-cardgame.com/images/card_details/64c92d3d8c1f44cfd577a960b908d2a328bfeb6b.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/63b25e0d32f37583f3be39cda14525e566c070f2.webp
765,BP,05,002,,BP05-002,RR,,2,SPEED,Ultra Hero,7000,9000,14000,,,1996,Ultraman Tiga,-,TIGA,"[SIN][DBL]《When this character enters play》You may return up to two cards from your hand to the bottom of your deck in any order. If you returned cards to your deck with this effect, draw that many cards.","She reached for the stars, ever-higher — so that she, too, could reach the Light.",ULTRAMAN TIGA,,False,,Sky Type,FUJIWARA HISASHI,https://img.ultraman-cardgame.com/images/card_details/fb373dcdba065d7c939476d1d130061e3a59525b.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/c8ea44cce765a30d13d3ad293e2f2c566aa7af79.webp
766,BP,05,002,AP05,AP(05/20)BP05-002,AP,,2,SPEED,Ultra Hero,7000,9000,14000,,,1996,Ultraman Tiga,-,TIGA,"[SIN][DBL]《When this character enters play》You may return up to two cards from your hand to the bottom of your deck in any order. If you returned cards to your deck with this effect, draw that many cards.",Daigo was the only one with the power of Tiga. He was not the only one with a sense of justice.,ULTRAMAN TIGA,,False,,Sky Type,KEN NAGASAKI,https://img.ultraman-cardgame.com/images/card_details/43e96ca5a365984f848f7531e8da51a9dd092cca.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a3fce2bc753c33f84df4962fbe54684f883570e6.webp
767,BP,05,003,,BP05-003,U,,2,BASIC,Ultra Hero,6000,10000,13000,,,1996,Ultraman Tiga,-,TIGA,[DBL]《When this character enters play》You may give one of your Ultra Hero with TYPE 【BASIC】 +1000 BP for this turn.,"Daigo was afraid that the power of the Giant made him less human. In truth, his humanity was never in doubt.",ULTRAMAN TIGA,,False,,Multi Type,,https://img.ultraman-cardgame.com/images/card_details/c7c56b1703b17a41200f245c36ec3a7fccb14862.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/b6bfbfbc0c96ddcec1e3974428e204efb05bf247.webp
768,BP,05,004,,BP05-004,C,,2,POWER,Ultra Hero,6000,9000,,,,1996,Ultraman Tiga,-,TIGA,[SIN][DBL]《When this character enters play》You may give one of your characters TYPE 【SPEED】 for this turn.,"Tiga's crimson body ripples with strength, crushing darkness as it rises.",ULTRAMAN TIGA,,False,,Power Type,,https://img.ultraman-cardgame.com/images/card_details/58e51db01e1d736735f538ae8f50e4fcb2016e25.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/8888da734b5262abeccb175d89c915edccfeca75.webp
769,BP,05,005,,BP05-005,RRR,,3,POWER,Ultra Hero,7000,12000,17000,,,1996,Ultraman Tiga,-,TIGA,"[DBL][TRP]《When this character enters play》You may give one of your level 2 or 3 Ultra Hero that is DOUBLE or TRIPLE a BP grade decrease by 1 for this turn. If you do, give one of your 『TIGA』 a BP grade increase by 1 for this turn.","Tiga's power was boundless, but the Ruler of Darkness's malice was fathomless.",ULTRAMAN TIGA,,False,,Power Type,S-Kinoko,https://img.ultraman-cardgame.com/images/card_details/b6687e0637ec2b700f289bdaa407eed93f38f821.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/5a932a641ac5e29b8bc918965c8fa7bbf65edec7.webp
770,BP,05,005,SP01,SP(01/05)BP05-005,SP,,3,POWER,Ultra Hero,7000,12000,17000,,,1996,Ultraman Tiga,-,TIGA,"[DBL][TRP]《When this character enters play》You may give one of your level 2 or 3 Ultra Hero that is DOUBLE or TRIPLE a BP grade decrease by 1 for this turn. If you do, give one of your 『TIGA』 a BP grade increase by 1 for this turn.",He fought because his power made him the only one that could — until he realized he had never been alone.,ULTRAMAN TIGA,,False,,Power Type,K2 Shoukai,https://img.ultraman-cardgame.com/images/card_details/a1fae82a3a12d582aa9d028d4d68faaab4ada566.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/52311fce92c92f70f72bce9be6f8223f96eb83e7.webp
771,BP,05,005,SSSP01,SSSP(01/02)BP05-005,SSSP,,3,POWER,Ultra Hero,7000,12000,17000,,,1996,Ultraman Tiga,-,TIGA,"[DBL][TRP]《When this character enters play》You may give one of your level 2 or 3 Ultra Hero that is DOUBLE or TRIPLE a BP grade decrease by 1 for this turn. If you do, give one of your 『TIGA』 a BP grade increase by 1 for this turn.",A crimson dash — a blow with the strength and speed of a raging fire!,ULTRAMAN TIGA,,False,,Power Type,Hiroshi Maruyama,https://img.ultraman-cardgame.com/images/card_details/1834a0fdecc7297d1fddafd9cda0823e3ca1ba89.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/a1dcf9cd44aa09ec7231c95998be352597a07b3c.webp
772,BP,05,005,UR01,UR(01/02)BP05-005,UR,,3,POWER,Ultra Hero,7000,12000,17000,,,1996,Ultraman Tiga,-,TIGA,"[DBL][TRP]《When this character enters play》You may give one of your level 2 or 3 Ultra Hero that is DOUBLE or TRIPLE a BP grade decrease by 1 for this turn. If you do, give one of your 『TIGA』 a BP grade increase by 1 for this turn.","With all his strength, the Giant moved forward — through any obstacles to a brighter future!",ULTRAMAN TIGA,,False,,Power Type,Hiroshi Maruyama,https://img.ultraman-cardgame.com/images/card_details/8ab7484dd8ec77538326536cbd8a94aaed51e8f2.webp,https://img.ultraman-cardgame.com/images/card_details/thumbnails/899a5b993be5d5089bb7ee952c8ae9b505c30e5e.webp
